unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,author,trans_time,start_volume,start_page,end_volume,end_page,remark
,JS0001,大般若波罗蜜多经六百卷,600,600,玄奘译,,JS_1,1,JS_9,1307,
,JS0002,放光般若波罗蜜经,30,30,无罗叉共竺叔兰译,,JS_10,349,JS_10,914,
,JS0003,摩诃般若波罗蜜经三十卷,30,30,鸠摩罗什共僧睿译,,JS_10,915,JS_11,1320,
,JS0004,光赞般若波罗蜜经,10,10,竺法护译,,JS_11,373,JS_11,588,
,JS0005,道行般若波罗蜜经,10,10,支娄迦谶译,,JS_11,589,JS_11,794,
,JS0006,小品般若波罗蜜经,10,10,鸠摩罗什译,,JS_11,795,JS_11,986,
,JS0007,摩诃般若波罗蜜钞经,5,5,昙摩蜱共竺佛念等译,,JS_11,987,JS_11,1094,
,JS0008,大明度无极经,6,6,支谦译,,JS_11,1095,JS_11,1206,
,JS0009,胜天王般若波罗蜜经七卷,7,7,月婆首那译,,JS_11,1207,JS_12,1312,
,JS0010,金刚般若波罗蜜经,1,1,鸠摩罗什译,,JS_12,37,JS_12,52,
,JS0011,金刚般若波罗蜜经,1,1,留支译,,JS_12,53,JS_12,68,
,JS0012,金刚般若波罗蜜经,1,1,真谛译,,JS_12,69,JS_12,86,
,JS0013,能断金刚般若波罗蜜多经,1,1,玄奘译,,JS_12,87,JS_12,108,
,JS0014,能断金刚般若波罗蜜经,1,1,义净译,,JS_12,109,JS_12,122,
,JS0015,金刚能断般若波罗蜜经,1,1,笈多译,,JS_12,123,JS_12,140,
,JS0016,佛说濡首菩萨无上清净分卫经,2,2,翔公译,,JS_12,141,JS_12,174,
,JS0017,仁王护国般若波罗蜜经,2,2,鸠摩罗什译,,JS_12,175,JS_12,210,
,JS0018,实相般若波罗蜜经,1,1,菩提流志等译,,JS_12,211,JS_12,218,
,JS0019,摩诃般若波罗蜜大明咒经,1,1,鸠摩罗什译,,JS_12,219,JS_12,220,
,JS0020,般若波罗蜜多心经,1,1,玄奘译,,JS_12,221,JS_12,224,
,JS0021,文殊师利所说摩诃般若波罗蜜经,1,1,曼陀罗仙译,,JS_12,225,JS_12,248,
,JS0022,文殊师利所说般若波罗蜜经,1,1,僧伽婆罗译,,JS_12,249,JS_12,272,
,JS0023,大宝积经一二○卷,120,120,菩提流志、竺法護等譯,,JS_12,273,JS_14,1264,
,JS0024,大方广三戒经,3,3,昙无谶译,,JS_14,201,JS_14,262,
,JS0025,佛说无量清净平等觉经,3,3,支娄迦谶译,,JS_14,263,JS_14,336,
,JS0026,佛说阿弥陀经,2,2,支谦译,,JS_14,337,JS_14,400,
,JS0027,佛说无量寿经,2,2,康僧铠译,,JS_14,401,JS_14,446,
,JS0028,佛说阿閦佛国经,3,3,支娄迦谶译,,JS_14,447,JS_14,494,
,JS0029,佛说大乘十法经,1,1,僧伽婆罗译,,JS_14,495,JS_14,518,
,JS0030,佛说普门品经,1,1,竺法护译,,JS_14,519,JS_14,532,
,JS0031,文殊师利佛土严净经,2,2,竺法护译,,JS_14,533,JS_14,574,
,JS0032,佛说胞胎经,1,1,竺法护译,,JS_14,575,JS_14,590,
,JS0033,佛说法镜经,2,2,安玄共严佛调译,,JS_14,591,JS_14,620,
,JS0034,郁迦罗越问菩萨行经,1,1,竺法护译,,JS_14,621,JS_14,648,
,JS0035,幻士仁贤经,1,1,竺法护译,,JS_14,649,JS_14,672,
,JS0036,佛说决定毗尼经,1,1,敦煌三藏译,,JS_14,673,JS_14,692,
,JS0037,发觉净心经,2,2,闍那崛多译,,JS_14,693,JS_14,728,
,JS0038,佛说优填王经,1,1,法炬译,,JS_14,729,JS_14,734,
