经号,经名,所属藏经,部类,册别,卷数,作译者,时间
A1057,新譯大方廣佛華嚴經音義,趙城金藏,事彙部類,91,2卷,唐 慧菀述,唐618~907
A1267,大唐開元釋教廣品歷章,趙城金藏,事彙部類,97..98,17卷,唐 玄逸撰,唐618~907
A1490,天聖釋教總錄,趙城金藏,事彙部類,110,2卷,宋 惟淨等編修,宋960~1279
A1493,大中祥符法寶錄,趙城金藏,事彙部類,111..112,16卷,宋 楊億等編修,宋960~1279
A1494,景祐新修法寶錄,趙城金藏,事彙部類,112,14卷,宋 呂夷簡等編修,宋960~1279
A1504,佛說大乘僧伽吒法義經,趙城金藏,大集部類,114,3卷,宋 金總持等譯,宋960~1279
A1505,佛說清淨毘奈耶最上大乘經,趙城金藏,律部類,114,2卷,宋 智吉祥等譯,宋960~1279
A1548,因明論理門十四過類疏,趙城金藏,論集部類,119,1卷,唐 窺基撰,唐618~907
A1561,瑜伽師地論義演,趙城金藏,瑜伽部類,120..121,23卷,唐 清素．澄淨述,唐618~907
B0001,均如大師華嚴學全書,補編,新編部類,1..2,20卷,均如著　金知見編,
B0002,華嚴經疏論纂要,補編,新編部類,3..5,120卷,道霈編,
B0003,南傳長部經典,補編,新編部類,6,2卷,江鍊百譯,
B0004,南傳中部經典,補編,新編部類,6,1卷,芝峯譯,
B0005,南傳小部經典,補編,新編部類,6,2卷,夏丏尊譯,
B0006,泰國大藏經小部經,補編,新編部類,6,1卷,黃謹良譯,
B0007,發趣論,補編,新編部類,6,1卷,范寄東譯,
B0008,大發趣論註,補編,新編部類,6,1卷,覺音造　范寄東譯,
B0009,冠導阿毗達磨俱舍論,補編,新編部類,6,30卷,佐伯旭雅編,
B0010,南傳轉法輪經,補編,新編部類,7,1卷,丘哌博譯,
B0011,轉法輪經,補編,新編部類,7,1卷,岫廬譯,
B0012,三寶經,補編,新編部類,7,1卷,法舫譯,
B0013,吉祥經,補編,新編部類,7,1卷,法舫譯,
B0014,婆羅門正法經,補編,新編部類,7,1卷,法舫譯,
B0015,南傳羯臘摩經,補編,新編部類,7,1卷,丘寶光．徐鄂雲同譯,
B0016,南傳大悲經,補編,新編部類,7,1卷,法舫譯,
B0017,南傳法句經,補編,新編部類,7,1卷,了參譯,
B0018,南傳大般湼槃經,補編,新編部類,7,1卷,巴宙譯,
B0019,南傳念安般經,補編,新編部類,7,1卷,湯用彤譯,
B0020,隨念三寶經淺說,補編,新編部類,7,1卷,法尊口述 雲根記,
B0021,毒語心經,補編,新編部類,7,1卷,白隱慧鶴註釋 南天棒鄧州提唱,
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,補編,新編部類,7,1卷,貢噶呼圖克圖譯,
B0023,金剛般若波羅蜜經講義,補編,新編部類,7,5卷,江味農著,
B0024,佛說阿彌陀經註釋會要,補編,新編部類,7,1卷,鳩摩羅什譯　法舫譯,
B0025,阿毗達摩攝義論,補編,新編部類,7,1卷,阿耨樓陀造　法舫譯,
B0026,四分比丘尼戒本註解,補編,新編部類,8,2卷,佛瑩編,
B0027,瑜伽師地論戒品纂釋,補編,新編部類,8,2卷,宗喀巴釋論　湯薌銘譯纂,
B0028,菩提正道菩薩戒論,補編,新編部類,8,1卷,宗喀巴造　湯薌銘譯,
B0029,菩薩戒品釋,補編,新編部類,8,5卷,宗喀巴造　法尊譯,
B0030,現觀莊嚴論中八品七十義略解,補編,新編部類,9,1卷,法尊述,
B0031,現觀莊嚴論略釋,補編,新編部類,9,4卷,彌勒造頌 法尊譯釋,
